Title,Url
1 LottoCAD,http://lc.yum.pl/
1.1 Wprowadzenie,http://lc.yum.pl/_help/contents.htm
1.2 O Programie,http://lc.yum.pl/_help/about.htm
2 Panel główny programu,http://lc.yum.pl/_help/main_panel.htm
2.1 Elementy Formularzy,http://lc.yum.pl/_help/formular_elements.htm
2.1.1 Panele tekstowe,http://lc.yum.pl/_help/panel_text.htm
2.1.1.1 Menu kontekstowe pola zaklady,http://lc.yum.pl/_help/panel_text_popmenu.htm
2.1.2 Tabela losowan,http://lc.yum.pl/_help/panel_wheels.htm
2.1.2.1 zaznaczanie liczb,http://lc.yum.pl/_help/panel_wheels_highlight.htm
2.1.2.2 wybieranie liczb,http://lc.yum.pl/_help/panel_wheels_selection.htm
2.1.3 Tendencje,http://lc.yum.pl/_help/panel_tend.htm
2.1.3.1 TENDENCJE,http://lc.yum.pl/_help/panel_tend_descr.htm
2.1.4 Baza zawartych zakładów,http://lc.yum.pl/_help/panel_ticketbase.htm
2.1.4.1 BAZA ZAKŁADÓW,http://lc.yum.pl/_help/panel_ticketbase_descr.htm
2.1.5 Szybki pasek wyboru,http://lc.yum.pl/_help/quick_bar.htm
2.1.6 Mapa liczb,http://lc.yum.pl/_help/panel_maps.htm
2.1.7 Liga liczb,http://lc.yum.pl/_help/panel_league.htm
2.1.7.1 LIGA LICZB,http://lc.yum.pl/_help/panel_league_descr.htm
2.2 Menu i paski narzędziowe,http://lc.yum.pl/_help/menu_an_toolbar.htm
2.2.1 Menu główne,http://lc.yum.pl/_help/menu_main.htm
2.2.1.1 Plik,http://lc.yum.pl/_help/menu_file.htm
2.2.1.1.1 Otwórz z ... pliku tekstowego,http://lc.yum.pl/_help/menu_file_load_save_to_file.htm
2.2.1.1.2 Zapisz do ... bazy zakładów,http://lc.yum.pl/_help/menu_file_load_save_to_base.htm
2.2.1.1.3 Drukuj, podgląd wydruku,http://lc.yum.pl/_help/menu_file_print.htm
2.2.1.1.4 Menadżer gier liczbowych,http://lc.yum.pl/_help/menu_file_game_manager.htm
2.2.1.2 Edycja,http://lc.yum.pl/_help/menu_edit.htm
2.2.1.2.1 Opcje pola tekstowego,http://lc.yum.pl/_help/text_option.htm
2.2.1.3 Filtry,http://lc.yum.pl/_help/menu_filters.htm
2.2.1.3.1 Filtry opis,http://lc.yum.pl/_help/menu_filters_descr.htm
2.2.1.3.1.1 Sumy,http://lc.yum.pl/_help/menu_filters_sum.htm
2.2.1.3.1.2 Parzystości,http://lc.yum.pl/_help/menu_filters_parity.htm
2.2.1.3.1.3 Szeregu kolejnych liczb,http://lc.yum.pl/_help/menu_filters_string.htm
2.2.1.3.1.4 Filtr róznicy,http://lc.yum.pl/_help/menu_filters_diff.htm
2.2.1.3.1.5 Przyklad filtracji SPS,http://lc.yum.pl/_help/menu_filters_what_use.htm
2.2.1.3.1.6 Filtr Trafień,http://lc.yum.pl/_help/menu_filters_hits.htm
2.2.1.3.1.7 Filtr zakresow,http://lc.yum.pl/_help/filtrzakresow.htm
2.2.1.3.1.8 FiltrAVG,http://lc.yum.pl/_help/filtravg.htm
2.2.1.3.1.9 FiltrFHD,http://lc.yum.pl/_help/filtrhd.htm
2.2.1.3.1.10 FiltrMHD,http://lc.yum.pl/_help/filtrmhd.htm
2.2.1.3.1.11 Przykład filtracji,http://lc.yum.pl/_help/filter_przyklad.htm
